Clothing ID,Department,Class,total_reviews,tier1_reviews,undetermined,undetermined_pct,dominant_label,dominant_label_cnt,dominant_label_t1rate,MATERIAL_QUALITY,FIT_CUT,DESCRIPTION_MISMATCH,SIZING_ACCURACY,STYLE_EXPECTATION,PERSONAL_FIT,is_spotlight,priority_tier,spotlight_note
868,Tops,Knits,430,64,26,40.6,STYLE_EXPECTATION,24,0.375,6,3,2,3,24,0,True,High,"Largest product in dataset (430 reviews). Tent/maternity silhouette complaints dominate; qualitative review analysis shows polarised reactions — majority find the shape unflattering, a minority describe it as tailored. Design ambiguity, not a defect."
984,Jackets,Jackets,175,11,4,36.4,STYLE_EXPECTATION,4,0.364,1,0,2,0,4,0,True,High,"Jackets/Jackets: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
831,Tops,Blouses,164,14,4,28.6,MATERIAL_QUALITY,5,0.357,5,2,1,0,2,0,True,High,High-volume MQ flag in Tops/Blouses (164 reviews). Recurring durability language across independent reviewers — fabric quality and construction concerns. Pattern suggests a supplier or batch-level issue rather than isolated defects.
1056,Bottoms,Pants,213,17,10,58.8,MATERIAL_QUALITY,6,0.353,6,0,0,0,1,0,True,High,High-volume MQ flag in Bottoms/Pants (213 reviews). Material quality and durability complaints concentrated across this product; second-highest review volume among MQ spotlights.
1008,Bottoms,Skirts,186,9,6,66.7,STYLE_EXPECTATION,3,0.333,0,0,0,0,3,0,True,High,"Bottoms/Skirts: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
860,Tops,Knits,288,30,15,50.0,STYLE_EXPECTATION,9,0.3,1,3,0,2,9,0,True,High,High-volume SE product (288 reviews). Shapeless/boxy silhouette with excess fabric; reviewers consistently describe it as unflattering across body types. Second-highest volume SE flag in the dataset.
824,Tops,Blouses,96,11,2,18.2,STYLE_EXPECTATION,6,0.545,1,1,0,1,6,0,True,Medium,"Tops/Blouses: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
1047,Bottoms,Pants,77,5,3,60.0,MATERIAL_QUALITY,2,0.4,2,0,0,0,0,0,True,Medium,"Bottoms/Pants: material quality and/or durability complaints — thinness, sheerness, pilling, shrinkage, or structural failures reported by multiple independent reviewers."
903,Tops,Fine gauge,91,10,5,50.0,STYLE_EXPECTATION,4,0.4,1,0,0,0,4,0,True,Medium,"Tops/Fine gauge: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
941,Tops,Sweaters,83,16,7,43.8,MATERIAL_QUALITY,6,0.375,6,0,1,1,1,0,True,Medium,"Tops/Sweaters: material quality and/or durability complaints — thinness, sheerness, pilling, shrinkage, or structural failures reported by multiple independent reviewers."
823,Tops,Blouses,105,14,6,42.9,STYLE_EXPECTATION,5,0.357,2,1,0,0,5,0,True,Medium,"Tops/Blouses: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
830,Tops,Blouses,112,17,8,47.1,STYLE_EXPECTATION,6,0.353,0,3,0,0,6,0,True,Medium,"Tops/Blouses: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
949,Tops,Sweaters,79,6,3,50.0,MATERIAL_QUALITY,2,0.333,2,0,0,1,0,0,True,Medium,"Tops/Sweaters: material quality and/or durability complaints — thinness, sheerness, pilling, shrinkage, or structural failures reported by multiple independent reviewers."
876,Tops,Knits,88,12,4,33.3,STYLE_EXPECTATION,4,0.333,2,1,0,1,4,0,True,Medium,"Tops/Knits: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
835,Tops,Blouses,141,13,5,38.5,STYLE_EXPECTATION,4,0.308,2,2,0,0,4,0,True,Medium,"Tops/Blouses: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
871,Tops,Knits,54,6,3,50.0,MATERIAL_QUALITY,3,0.5,3,0,0,0,0,0,True,Standard,"Tops/Knits: material quality and/or durability complaints — thinness, sheerness, pilling, shrinkage, or structural failures reported by multiple independent reviewers."
945,Tops,Sweaters,70,10,2,20.0,MATERIAL_QUALITY,4,0.4,4,0,2,1,1,0,True,Standard,"Tops/Sweaters: material quality and/or durability complaints — thinness, sheerness, pilling, shrinkage, or structural failures reported by multiple independent reviewers."
1091,Dresses,Dresses,58,6,3,50.0,SIZING_ACCURACY,2,0.333,1,0,0,2,0,0,True,Standard,Dresses/Dresses: sizing accuracy complaints — garment does not fit true to size label; reviewers report needing significantly different sizes than expected.
974,Jackets,Jackets,50,6,3,50.0,STYLE_EXPECTATION,2,0.333,1,0,0,0,2,0,True,Standard,"Jackets/Jackets: silhouette/shape complaints — garment described as shapeless, boxy, or unflattering when worn. Complaint is about presentation gap between product photography and real-world wear."
1079,Dresses,Dresses,63,13,5,38.5,MATERIAL_QUALITY,4,0.308,4,0,0,1,3,0,True,Standard,"Dresses/Dresses: material quality and/or durability complaints — thinness, sheerness, pilling, shrinkage, or structural failures reported by multiple independent reviewers."
857,Tops,Knits,71,10,5,50.0,MATERIAL_QUALITY,3,0.3,3,0,1,0,1,0,True,Standard,"Tops/Knits: material quality and/or durability complaints — thinness, sheerness, pilling, shrinkage, or structural failures reported by multiple independent reviewers."
